42.745098039215684, 16.07843137254902, 715.5, 88,
4, 44.31372549019608, 16.470588235294116, 740.5, 88,
4, 75.68627450980392, 22.352941176470587, 1885.0, 88,
5, 49.80392156862745, 21.176470588235293, 1786.0, 88,
7, 29.80392156862745, 16.862745098039216, 1159.0, 88,
7, 48.627450980392155, 18.823529411764707, 979.5, 88,
8, 56.470588235294116, 19.215686274509803, 1269.0, 88,
9, 55.68627450980392, 20.0, 1373.5, 88,
10, 49.01960784313726, 19.607843137254903, 1465.5, 88,
12, 43.529411764705884, 15.294117647058824, 1376.0, 88,
11, 27.45098039215686, 16.07843137254902, 1049.5, 88,
11, 66.27450980392157, 22.352941176470587, 2111.5, 88,
12, 57.254901960784316, 21.568627450980394, 1850.0, 88,
14, 40.3921568627451, 17.254901960784313, 1890.0, 88,
15, 25.098039215686274, 14.901960784313726, 1141.0, 88,
14, 21.96078431372549, 14.901960784313726, 1010.0, 88,
12, 20.784313725490197, 14.509803921568627, 914.5, 88,
9, 21.96078431372549, 14.509803921568627, 773.0, 88,
7, 23.529411764705884, 14.117647058823529, 703.5, 89,
5, 25.098039215686274, 14.117647058823529, 668.5, 88,
3, 25.88235294117647, 14.117647058823529, 644.5, 89,
1, 26.274509803921568, 14.117647058823529, 639.0, 89,
1, 26.666666666666668, 16.07843137254902, 712.0, 89,
1, 29.019607843137255, 16.862745098039216, 1372.5, 89,
0, 24.705882352941178, 17.254901960784313, 1858.5, 89,
0, 28.627450980392158, 19.215686274509803, 2386.0, 89,
0, 22.745098039215687, 16.862745098039216, 1631.5, 89,
0, 25.49019607843137, 16.470588235294116, 902.0, 89,
0, 35.68627450980392, 16.07843137254902, 870.5, 89,
0, 36.07843137254902, 16.07843137254902, 836.5, 89,
0, 37.64705882352941, 16.07843137254902, 804.0, 88,
0, 38.03921568627451, 16.07843137254902, 794.0, 88,
0, 38.03921568627451, 16.07843137254902, 788.0, 88,
0, 39.21568627450981, 16.07843137254902, 792.0, 88,
0, 39.6078431372549, 16.470588235294116, 808.0, 88,
0, 40.3921568627451, 25.88235294117647, 1604.0, 88,
0, 25.88235294117647, 18.823529411764707, 2324.0, 88,
0, 38.03921568627451, 20.392156862745097, 2319.0, 88,
1, 27.058823529411764, 18.431372549019606, 1060.0, 88,
1, 36.86274509803921, 16.862745098039216, 966.5, 88,
1, 47.450980392156865, 18.431372549019606, 849.0, 88,
1, 43.92156862745098, 14.509803921568627, 981.0, 88,
1, 27.84313725490196, 19.215686274509803, 1212.0, 88,
0, 24.313725490196077, 15.686274509803921, 1566.0, 88,
0, 21.176470588235293, 15.294117647058824, 1060.5, 88,
0, 21.176470588235293, 14.901960784313726, 957.5, 88,
0, 22.352941176470587, 14.901960784313726, 798.5, 88,
0, 34.11764705882353, 16.470588235294116, 1085.0, 88,
0, 22.352941176470587, 15.294117647058824, 1283.5, 88,
0, 20.0, 14.901960784313726, 913.5, 88,
0, 35.68627450980392, 17.254901960784313, 1393.5, 88,
0, 26.274509803921568, 18.431372549019606, 1511.0, 88,
0, 25.098039215686274, 18.431372549019606, 918.0, 88,
0, 42.35294117647059, 17.647058823529413, 1209.0, 88,
0, 34.509803921568626, 17.254901960784313, 1064.0, 88,
0, 35.294117647058826, 16.470588235294116, 964.5, 88,
0, 35.68627450980392, 16.470588235294116, 899.5, 88,
0, 38.431372549019606, 16.470588235294116, 842.0, 88,
0, 39.21568627450981, 16.470588235294116, 828.5, 88,
0, 40.0, 16.470588235294116, 830.5, 88,
0, 39.6078431372549, 16.470588235294116, 832.5, 88,
0, 39.21568627450981, 16.470588235294116, 822.0, 88,
0, 38.8235294117647, 16.470588235294116, 808.0, 88,
0, 39.21568627450981, 16.07843137254902, 779.0, 88,
0, 39.6078431372549, 16.07843137254902, 780.0, 88,
0, 40.0, 16.07843137254902, 765.5, 88,
0, 40.3921568627451, 16.07843137254902, 775.0, 88,
0, 40.3921568627451, 16.07843137254902, 786.5, 88,
0, 32.15686274509804, 14.509803921568627, 755.5, 88,
0, 27.84313725490196, 14.509803921568627, 684.0, 88,
0, 27.058823529411764, 14.509803921568627, 645.0, 88,
0, 27.058823529411764, 14.117647058823529, 653.0, 88,
0, 27.058823529411764, 14.117647058823529, 643.0, 88,
0, 27.058823529411764, 14.117647058823529, 642.5, 88,
0, 26.666666666666668, 14.117647058823529, 638.0, 88,
0, 26.274509803921568, 14.117647058823529, 666.0, 88,
0, 30.58823529411765, 15.294117647058824, 644.5, 88,
0, 42.35294117647059, 15.686274509803921, 709.5, 88,
0, 39.6078431372549, 16.470588235294116, 783.5, 88,
0, 38.431372549019606, 16.07843137254902, 757.0, 88,
0, 38.03921568627451, 15.686274509803921, 746.0, 88,
0, 37.64705882352941, 16.07843137254902, 749.5, 88,
0, 38.431372549019606, 16.07843137254902, 772.0, 89,
0, 38.03921568627451, 16.07843137254902, 777.5, 89,
0, 38.03921568627451, 16.07843137254902, 784.0, 89,
0, 38.03921568627451, 16.07843137254902, 766.0, 88,
0, 38.431372549019606, 16.07843137254902, 769.0, 89,
0, 39.21568627450981, 16.07843137254902, 768.0, 89,
0, 38.8235294117647, 16.07843137254902, 788.5, 89,
0, 38.8235294117647, 16.07843137254902, 783.5, 89,
0, 38.431372549019606, 16.07843137254902, 772.5, 88,
0, 38.8235294117647, 16.07843137254902, 763.0, 89,
0, 38.8235294117647, 16.07843137254902, 769.5, 88,
0, 39.21568627450981, 16.07843137254902, 782.5, 89,
0, 39.21568627450981, 16.07843137254902, 784.5, 88,
0, 39.21568627450981, 16.07843137254902, 785.0, 89,
0, 38.8235294117647, 16.07843137254902, 773.5, 89,
0, 39.21568627450981, 16.07843137254902, 771.0, 89,
0, 39.6078431372549, 16.07843137254902, 775.0, 89,
0, 40.0, 16.07843137254902, 793.5, 89,
0, 39.21568627450981, 16.07843137254902, 798.5, 89,
0, 38.8235294117647, 16.07843137254902, 795.5, 89,
0, 39.6078431372549, 16.470588235294116, 795.0, 89,
0, 40.3921568627451, 16.470588235294116, 812.0, 89,
0, 40.0, 16.470588235294116, 818.5, 89,
0, 39.21568627450981, 16.470588235294116, 821.5, 89,
0, 39.21568627450981, 16.470588235294116, 806.5, 89,
0, 38.8235294117647, 16.470588235294116, 815.0, 89,
0, 38.8235294117647, 16.470588235294116, 820.0, 89,
0, 38.03921568627451, 16.470588235294116, 842.5, 89,
0, 38.03921568627451, 16.470588235294116, 835.0, 89,
0, 27.84313725490196, 14.509803921568627, 769.0, 89,
0, 53.72549019607843, 20.392156862745097, 2542.5, 88,
0, 18.823529411764707, 17.647058823529413, 2065.0, 89,
0, 19.215686274509803, 14.901960784313726, 1216.5, 89,
0, 20.0, 14.901960784313726, 1003.5, 88,
0, 20.0, 14.509803921568627, 891.0, 88,
0, 29.019607843137255, 15.686274509803921, 1055.5, 88,
